2025-01-29 14:53:55.829802 +0700 WIB m=+1092.497139126~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Signature:676f4d81472b0bc47780afbfc2f7789c | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:53:56.018203 +0700 WIB m=+1092.685539667~8µs~
2025-01-29 14:55:29.099137 +0700 WIB m=+1185.766474042~::1~POST~/api/v1/admin/HeroHome~ "Header=>Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:202 | Signature:676f4d81472b0bc47780afbfc2f7789c | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:55:29.162764 +0700 WIB m=+1185.830101126~6.542µs~
2025-01-29 14:56:19.721248 +0700 WIB m=+1236.388585084~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Signature:676f4d81472b0bc47780afbfc2f7789c | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:202 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:56:19.827449 +0700 WIB m=+1236.494785792~19.291µs~
2025-01-29 14:56:33.588311 +0700 WIB m=+1250.255647751~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:202 | Signature:676f4d81472b0bc47780afbfc2f7789c | Content-Type:application/json | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:56:33.613246 +0700 WIB m=+1250.280583376~16.292µs~
2025-01-29 14:56:57.453963 +0700 WIB m=+1274.121300001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Referer:http://localhost:3000/ | Signature:676f4d81472b0bc47780afbfc2f7789c | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:202 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:56:57.508255 +0700 WIB m=+1274.175591709~8.208µs~
2025/01/29 15:01:53 2025-01-29 15:01:53.718583 +0700 WIB m=+21.458998043~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:202 | Signature:676f4d81472b0bc47780afbfc2f7789c | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Origin:http://localhost:3000 | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 15:01:53.836499 +0700 WIB m=+21.576914668~15.542µs~
2025/01/29 15:45:12 2025-01-29 15:45:12.384078 +0700 WIB m=+2620.124493751~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Ch-Ua-Mobile:?0 | Content-Length:202 | Signature:676f4d81472b0bc47780afbfc2f7789c | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 15:45:12.971778 +0700 WIB m=+2620.712193293~22.167µs~Session Expired
2025-01-29 15:55:10.354411 +0700 WIB m=+3218.094825710~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:114f6c6833c1b0c05595df1573895135 | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODE0MDMyMDYzNTE2Mw==XAT8H5OVRQbBWg06gy7GTQNQ4sz6AK","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 15:55:10.413422 +0700 WIB m=+3218.153836918~7.833µs~
2025-01-29 15:55:10.354543 +0700 WIB m=+3218.094957793~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Origin:http://localhost:3000 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Signature:114f6c6833c1b0c05595df1573895135 | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODE0MDMyMDYzNTE2Mw==XAT8H5OVRQbBWg06gy7GTQNQ4sz6AK","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 15:55:10.413422 +0700 WIB m=+3218.153836918~7.667µs~
2025-01-29 18:51:22.415573 +0700 WIB m=+1948.535667584~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:170 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:d816f3ee229ac89c70957395dd3690eb | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODE0OTk4OTk2ODM5Mg==ydt2fv9qMXZP3StI0TavnpItZFVFKL","Method":"SELECT","Id":"8","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-01-29 18:51:22.443889 +0700 WIB m=+1948.563983667~15.333µs~
