2025-01-29 19:53:04.624734 +0700 WIB m=+1379.689118626~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:202"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:53:04.634007 +0700 WIB m=+1379.698390834~19.416µs~
2025-01-29 20:07:28.844326 +0700 WIB m=+2243.908710668~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:e5860d8a66dadaf0db25a7254c1a8c7c | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Content-Length:188"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"","Method":"UPDATE","ParamUpdate":"status","Title":"","Description":"","Status":"0"}~200~2025-01-29 20:07:28.879151 +0700 WIB m=+2243.943535584~17.833µs~Id can't null value
2025-01-29 20:07:33.562059 +0700 WIB m=+2248.626443251~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Signature:801abc656bd4cb3544784b2529a9e9a7 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Content-Length:189 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Content-Type:application/json"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","Description":"","Status":"1"}~200~2025-01-29 20:07:33.573251 +0700 WIB m=+2248.637635334~21.916µs~
2025-01-29 20:07:33.629068 +0700 WIB m=+2248.693451918~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:202 | Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 20:07:33.639082 +0700 WIB m=+2248.703466334~15.541µs~
2025-01-29 20:08:27.614626 +0700 WIB m=+2302.679009709~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Mode:cors | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:189 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Signature:f67e92103e7b844daa4a3b332ce2b2c2 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24""~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","Description":"","Status":"0"}~200~2025-01-29 20:08:27.660125 +0700 WIB m=+2302.724509543~6.459µs~
2025-01-29 20:08:27.729092 +0700 WIB m=+2302.793476376~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Connection:keep-alive | Origin:http://localhost:3000 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Signature:b7c2a8cd52c594c766e84aa680f48c49 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 20:08:27.742653 +0700 WIB m=+2302.807036793~7.25µs~
2025-01-29 20:08:35.410817 +0700 WIB m=+2310.475201001~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Connection:keep-alive | Referer:http://localhost:3000/ | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 20:08:35.493553 +0700 WIB m=+2310.557937668~1.39725ms~
2025-01-29 20:08:36.953992 +0700 WIB m=+2312.018376126~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Signature:5e6234da55d7fe7d41fe0445d4f37113 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Dest:empty | Content-Length:189 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Type:application/json | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"2","Method":"UPDATE","ParamUpdate":"status","Title":"","Description":"","Status":"1"}~200~2025-01-29 20:08:36.96582 +0700 WIB m=+2312.030203709~16.208µs~
2025-01-29 20:08:37.016185 +0700 WIB m=+2312.080569459~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:202 | Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 20:08:37.027582 +0700 WIB m=+2312.091966543~15.167µs~
2025-01-29 20:08:40.007609 +0700 WIB m=+2315.071993001~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Signature:801abc656bd4cb3544784b2529a9e9a7 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Connection:keep-alive | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Content-Length:189"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","Description":"","Status":"1"}~200~2025-01-29 20:08:40.019217 +0700 WIB m=+2315.083601293~20.209µs~
