2025-01-30 10:39:34.842147 +0700 WIB m=+732.249094960~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | Content-Length:202 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Signature:8fbfb59048cde513f45ff92bc778ea58 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:39:34.851278 +0700 WIB m=+732.258225460~14.292µs~
2025/01/30 10:39:58 2025-01-30 10:39:57.971803 +0700 WIB m=+0.799519501~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Content-Length:202 | Accept:*/* | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Signature:8fbfb59048cde513f45ff92bc778ea58 | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:39:58.031664 +0700 WIB m=+0.859379626~13.708µs~
2025/01/30 10:40:01 2025-01-30 10:40:01.61625 +0700 WIB m=+4.443966126~::1~POST~/api/v1/admin/CoreValues~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:204 | Sec-Ch-Ua-Platform:"macOS" | Signature:72c7ade56468924353755c35e5c9fc8a | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"1"}~200~2025-01-30 10:40:01.62714 +0700 WIB m=+4.454855751~17.25µs~
2025/01/30 10:40:01 2025-01-30 10:40:01.687255 +0700 WIB m=+4.514970876~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:8fbfb59048cde513f45ff92bc778ea58 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:40:01.694312 +0700 WIB m=+4.522028043~12.917µs~
2025/01/30 10:40:02 2025-01-30 10:40:02.335073 +0700 WIB m=+5.162789334~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:204 | Sec-Ch-Ua-Platform:"macOS" | Signature:1c5bf5d03137777aadd94ca44366e20a | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"0"}~200~2025-01-30 10:40:02.345094 +0700 WIB m=+5.172810293~15.084µs~
2025/01/30 10:40:02 2025-01-30 10:40:02.385121 +0700 WIB m=+5.212836584~::1~POST~/api/v1/admin/CoreValues~ "Header=>Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept:*/* | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:8fbfb59048cde513f45ff92bc778ea58 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:40:02.391574 +0700 WIB m=+5.219290418~14.25µs~
2025/01/30 10:40:03 2025-01-30 10:40:03.335678 +0700 WIB m=+6.163394126~::1~POST~/api/v1/admin/CoreValues~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:204 | Signature:72c7ade56468924353755c35e5c9fc8a | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"1"}~200~2025-01-30 10:40:03.343792 +0700 WIB m=+6.171508584~20.125µs~
2025/01/30 10:40:03 2025-01-30 10:40:03.36137 +0700 WIB m=+6.189086293~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:202 | Signature:8fbfb59048cde513f45ff92bc778ea58 | Sec-Ch-Ua-Mobile:?0 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:40:03.369039 +0700 WIB m=+6.196755001~14.375µs~
2025/01/30 10:40:04 2025-01-30 10:40:04.01755 +0700 WIB m=+6.845266334~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:204 | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:1c5bf5d03137777aadd94ca44366e20a | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"0"}~200~2025-01-30 10:40:04.026837 +0700 WIB m=+6.854553376~16.375µs~
2025/01/30 10:40:04 2025-01-30 10:40:04.055209 +0700 WIB m=+6.882924626~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Signature:8fbfb59048cde513f45ff92bc778ea58 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Site:same-site | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:40:04.061709 +0700 WIB m=+6.889425126~14.375µs~
2025/01/30 10:40:04 2025-01-30 10:40:04.508333 +0700 WIB m=+7.336048543~::1~POST~/api/v1/admin/CoreValues~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Signature:72c7ade56468924353755c35e5c9fc8a | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Language:en-US,en | Content-Length:204 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"1"}~200~2025-01-30 10:40:04.518672 +0700 WIB m=+7.346387584~18.291µs~
