2025/01/31 01:46:25 2025-01-31 01:46:25.860612 +0700 WIB m=+69.729435293~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Dest:empty | Content-Length:197 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Connection:keep-alive | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:25.868582 +0700 WIB m=+69.737405835~7.917µs~
2025/01/31 01:46:33 2025-01-31 01:46:33.173459 +0700 WIB m=+77.042282376~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:236 | Content-Type:application/json | Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Signature:3f3c46448b03b31d0b841e5a92de0168 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","Id":"1","ParamUpdate":"status","FileNameImageOld":"","FileNameImage":null,"Base64DataImage":"","Title":"","Status":"0"}~200~2025-01-31 01:46:33.18569 +0700 WIB m=+77.054513835~16.167µs~
2025/01/31 01:46:33 2025-01-31 01:46:33.233276 +0700 WIB m=+77.102099918~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:33.243597 +0700 WIB m=+77.112420876~46.333µs~
2025/01/31 01:46:36 2025-01-31 01:46:36.101603 +0700 WIB m=+79.970426710~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Connection:keep-alive | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:36.111534 +0700 WIB m=+79.980357418~16.542µs~
2025/01/31 01:46:37 2025-01-31 01:46:37.36999 +0700 WIB m=+81.238813918~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:695bb1624a2ef957c0bb34866e5e318d | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:234 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","Id":"1","ParamUpdate":"status","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Status":"1"}~200~2025-01-31 01:46:37.380297 +0700 WIB m=+81.249120543~17.542µs~
2025/01/31 01:46:37 2025-01-31 01:46:37.401265 +0700 WIB m=+81.270088251~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Dest:empty | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Content-Length:197 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:37.411171 +0700 WIB m=+81.279994793~14.292µs~
2025/01/31 01:46:38 2025-01-31 01:46:38.854888 +0700 WIB m=+82.723712126~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:38.864336 +0700 WIB m=+82.733159960~12.542µs~
2025/01/31 01:46:40 2025-01-31 01:46:40.057152 +0700 WIB m=+83.925975460~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:4b7e00018e6c2c3b30904b7e870d217f | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Content-Length:234 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","Id":"1","ParamUpdate":"status","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Status":"0"}~200~2025-01-31 01:46:40.068618 +0700 WIB m=+83.937441251~18.791µs~
2025/01/31 01:46:40 2025-01-31 01:46:40.087152 +0700 WIB m=+83.955976085~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Content-Length:197 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Site:same-site | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:40.096206 +0700 WIB m=+83.965029626~14.833µs~
2025/01/31 01:46:41 2025-01-31 01:46:41.281046 +0700 WIB m=+85.149869751~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Content-Length:197 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:f1be4a905e1aa76b7001e40c3ada7c04"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:41.290305 +0700 WIB m=+85.159128626~6.875µs~
