2025-02-01 15:09:59.047151 +0700 WIB m=+244.289802251~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Dest:empty | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:09:59.055943 +0700 WIB m=+244.2985937108.791459ms~
2025-02-01 15:09:59.047341 +0700 WIB m=+244.289992168~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Content-Length:34 | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 15:09:59.05597 +0700 WIB m=+244.2986206688.6285ms~
2025-02-01 15:18:48.233644 +0700 WIB m=+773.476294876~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Content-Length:17 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 15:18:48.23654 +0700 WIB m=+773.4791904182.895542ms~
2025-02-01 15:25:13.933188 +0700 WIB m=+1159.175839126~::1~POST~/api/v1/web/ListProductHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en | Content-Type:application/json | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000"~{"Ip":"","Id":""}~2002025-02-01 15:25:13.937444 +0700 WIB m=+1159.1800950434.255917ms~
2025-02-01 15:25:13.935091 +0700 WIB m=+1159.177741751~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json"~{"Ip":"","Id":""}~2002025-02-01 15:25:13.943283 +0700 WIB m=+1159.1859339188.192167ms~
2025-02-01 15:25:13.933399 +0700 WIB m=+1159.176050293~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:34 | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 15:25:13.945688 +0700 WIB m=+1159.18833916812.288875ms~
2025-02-01 15:25:13.933443 +0700 WIB m=+1159.176093501~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-02-01 15:25:13.946031 +0700 WIB m=+1159.18868237612.588875ms~
2025-02-01 15:26:13.332498 +0700 WIB m=+1218.575148418~::1~POST~/api/v1/web/ListProductHome~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:17 | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Connection:keep-alive | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24""~{"Ip":"","Id":""}~2002025-02-01 15:26:13.349375 +0700 WIB m=+1218.59202621016.877792ms~
2025-02-01 15:26:13.333949 +0700 WIB m=+1218.576599793~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 15:26:13.349583 +0700 WIB m=+1218.59223341815.633625ms~
2025-02-01 15:26:13.334132 +0700 WIB m=+1218.576782626~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 15:26:13.349782 +0700 WIB m=+1218.59243321015.650584ms~
