2025-02-01 18:53:03.089342 +0700 WIB m=+7004.446843251~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Fetch-Site:same-site | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-02-01 18:53:03.091491 +0700 WIB m=+7004.4489922932.149042ms~
2025-02-01 19:42:07.319331 +0700 WIB m=+72.385773751~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Origin:http://localhost:3000 | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 19:42:07.324688 +0700 WIB m=+72.3911300855.356334ms~
2025-02-01 19:42:07.317765 +0700 WIB m=+72.384207543~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-02-01 19:42:07.324714 +0700 WIB m=+72.3911566266.949083ms~
2025-02-01 19:42:07.319186 +0700 WIB m=+72.385628293~::1~POST~/api/v1/web/ListProductHome~ "Header=>Connection:keep-alive | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Origin:http://localhost:3000 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 19:42:07.324766 +0700 WIB m=+72.3912089185.580625ms~
2025-02-01 19:42:07.318469 +0700 WIB m=+72.384911501~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:34 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Signature:b90e9277bde8ee5ec6105cf466e204f2 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 19:42:07.325815 +0700 WIB m=+72.3922570857.345584ms~
2025-02-01 19:49:25.626384 +0700 WIB m=+510.692826626~::1~POST~/api/v1/web/UpcomingProject~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Site:same-site | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 19:49:25.640915 +0700 WIB m=+510.70735741814.530792ms~
2025-02-01 19:57:57.169811 +0700 WIB m=+1022.236253626~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Content-Length:17 | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 19:57:57.174482 +0700 WIB m=+1022.2409246264.671ms~
2025-02-01 19:58:28.739327 +0700 WIB m=+1053.805769876~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-02-01 19:58:28.742176 +0700 WIB m=+1053.8086180852.848209ms~
2025-02-01 19:58:30.286113 +0700 WIB m=+1055.352555835~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Content-Type:application/json | Sec-Gpc:1 | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept:*/* | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:17"~{"Ip":"","Id":""}~2002025-02-01 19:58:30.288868 +0700 WIB m=+1055.3553100432.754208ms~
2025-02-01 19:58:30.287786 +0700 WIB m=+1055.354228501~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 19:58:30.289127 +0700 WIB m=+1055.3555695431.341042ms~
